operation1,operation2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,Output
42.0043,0.8419,445,549.58,1352.73,1129.43,3.91,5.71,138.79,2211.58,8300.2,559168.71
41.9987,0.8416,445,549.44,1347.47,1126.3,3.91,5.71,138.55,2211.59,8300.28,558895.777
42.0011,0.84,445,550.18,1352.82,1127.92,3.91,5.72,138.21,2211.59,8308.75,560110.0922
42.0063,0.84,445,549.42,1350.32,1122.44,3.91,5.72,139.02,2211.59,8306.69,559965.6926
42.0001,0.8402,445,549.36,1357.42,1125.15,3.91,5.71,138.68,2211.71,8308.9,559700.8414
25.0058,0.6206,462.54,537.01,1263.21,1048.03,7.05,9.02,176.05,1915.13,7998.23,541619.4452
0.0022,0,518.67,643.04,1589.28,1403.5,14.62,21.61,554.08,2388.13,9037.52,630883.4144
0.0007,0,518.67,642.48,1599.79,1415.68,14.62,21.61,553.49,2388.1,9039.24,631378.4814
20.006,0.7011,491.19,607.78,1485.69,1244.78,9.35,13.65,334.53,2323.89,8713.7,597449.8986
10.005,0.25,489.05,605.13,1504.85,1310.94,10.52,15.49,394.19,2318.93,8760.33,604100.09
10.0038,0.25,489.05,604.69,1509.93,1317.2,10.52,15.5,394.21,2318.93,8763.76,603674.5676
0.0028,0,518.67,643.13,1583.81,1404.98,14.62,21.61,553.55,2388.11,9039.84,631502.3856
0.0012,0.0008,518.67,642.24,1587.04,1406.72,14.62,21.61,553.6,2388.15,9036.68,630612.5772
10.0066,0.251,489.05,605.25,1504.23,1306.63,10.52,15.49,394.24,2319.01,8765.65,604549.9692
25.005,0.62,462.54,536.95,1271.16,1051.62,7.05,9.03,175.67,1915.18,7998.94,541193.4
10.0076,0.25,489.05,604.84,1500.86,1311,10.52,15.49,394.31,2318.93,8764.83,603737.6952
24.9987,0.62,462.54,536.76,1261.64,1045.94,7.05,9.02,176.01,1915.16,8003.33,541978.8274
24.9981,0.6211,462.54,536.66,1267.66,1057.66,7.05,9.02,176.03,1915.13,7994.34,541082.5928
10.0065,0.25,489.05,605.17,1505.09,1312.97,10.52,15.49,394.37,2318.94,8770.13,604104.793
25.0051,0.6211,462.54,536.74,1261.81,1048.78,7.05,9.02,175.76,1915.12,7997.12,541206.2368
35.0029,0.84,449.44,555.34,1365.14,1136.45,5.48,8,194.88,2222.69,8335.88,565043.6058
42.0037,0.8409,445,549.78,1350.28,1127.59,3.91,5.71,138.88,2211.61,8309.94,559564.4928
0.0002,0,518.67,642.57,1582.9,1405.22,14.62,21.61,552.97,2388.16,9037.76,631534.2004
35.0033,0.84,449.44,555.28,1370.22,1129.04,5.48,8,194.41,2222.66,8338.36,564533.4366
42.0046,0.84,445,549.44,1354.85,1125.95,3.91,5.71,138.16,2211.61,8309.66,559878.4092
10.0049,0.25,489.05,605.01,1500.08,1309.65,10.52,15.5,394.09,2318.95,8763.1,604135.4098
0.0004,0.0014,518.67,643.26,1588.58,1402.51,14.62,21.61,552.61,2388.16,9037.94,630870.2892
41.9986,0.8402,445,549.93,1354.55,1132.5,3.91,5.71,138.81,2211.6,8305.4,559563.9884
35.0059,0.8401,449.44,554.89,1369.48,1126.96,5.48,8,195.16,2222.7,8335.17,564246.1524
24.9994,0.621,462.54,536.75,1263.03,1051.85,7.05,9.02,175.05,1915.11,7995.32,540812.3748
42.0015,0.8404,445,549.86,1354.41,1129.39,3.91,5.72,138.47,2211.53,8298.45,558628.5954
10.0061,0.25,489.05,605.05,1501.82,1311.23,10.52,15.49,394.68,2318.99,8759.83,604282.0422
0.002,0,518.67,642.82,1587.15,1399.85,14.62,21.61,552.86,2388.1,9034.62,630603.914
0.0018,0,518.67,642.91,1587.27,1404.67,14.62,21.61,553.61,2388.12,9043.32,631330.3636
42.0043,0.84,445,549.51,1345.58,1135.74,3.91,5.71,138.52,2211.57,8304.33,559683.4286
20.0046,0.7003,491.19,606.65,1486.48,1255.67,9.35,13.65,334.77,2323.93,8713.81,597994.351
35.0031,0.84,449.44,555.58,1371.01,1133.15,5.48,8,193.74,2222.67,8334.28,564893.3062
42.0053,0.8412,445,549.36,1352.92,1125.09,3.91,5.71,138.73,2211.56,8303.55,559606.5078
25.002,0.62,462.54,537.03,1262.69,1047.52,7.05,9.02,175,1915.12,7999.59,541264.444
20.0011,0.7,491.19,607.51,1481.61,1253.1,9.35,13.65,334.33,2323.98,8707.14,597419.9222
0.0029,0,518.67,643.24,1591.46,1405.31,14.62,21.61,553.34,2388.14,9040.41,631419.4558
41.9992,0.8413,445,550.1,1355.17,1123.54,3.91,5.71,138.41,2211.53,8311.01,560299.2562
35.0052,0.8406,449.44,555.71,1359.17,1129.99,5.48,8,193.78,2222.73,8340.5,564592.034
0.0016,0.0006,518.67,642.62,1596.62,1404.65,14.62,21.61,553.42,2388.18,9040.81,631385.2568
35.0053,0.84,449.44,555.55,1371.45,1128.96,5.48,8,194.45,2222.68,8341.42,564890.6006
10.0015,0.25,489.05,605.01,1504.34,1311.13,10.52,15.49,392.95,2318.99,8763.55,604318.403
0,0,518.67,642.88,1586.74,1409.1,14.62,21.61,554.08,2388.1,9043.13,631445.67
0.0009,0.0009,518.67,642.48,1591.9,1409.85,14.62,21.61,552.82,2388.15,9042.91,631309.8572
42.0024,0.8411,445,549.91,1352.21,1125,3.91,5.72,139.43,2211.62,8303.98,559057.3814
20.0074,0.7,491.19,607.44,1482.17,1253.33,9.35,13.65,334.53,2323.93,8712.14,597800.9348
25.0057,0.62,462.54,536.96,1260.81,1040.99,7.05,9.02,175.52,1915.1,7996.85,541118.2114
25.0025,0.6217,462.54,536.57,1260.77,1050.42,7.05,9.03,176.3,1915.13,8004.96,541781.3752
20.0033,0.702,491.19,607.16,1485.05,1253.12,9.35,13.65,334.09,2323.95,8704.89,597233.2386
25.0039,0.62,462.54,536.43,1258.23,1049.25,7.05,9.02,175.13,1915.07,7995.45,540898.3578
25.0023,0.62,462.54,537.02,1268.7,1049.71,7.05,9.03,176.05,1915.11,8003.74,541505.0946
42.0008,0.8405,445,549.99,1356.65,1129.01,3.91,5.71,137.8,2211.59,8304.05,559569.3446
25.0024,0.62,462.54,536.41,1262.7,1048.63,7.05,9.03,175.2,1915.15,8000.19,541699.0448
42.0017,0.84,445,549.7,1354.71,1120.3,3.91,5.71,138.79,2211.6,8303.68,559825.3734
42.0037,0.84,445,549.39,1362.36,1135.78,3.91,5.71,138.94,2211.57,8304.73,559674.9274
20.0011,0.7,491.19,607.61,1491.73,1263.49,9.35,13.66,335.04,2323.94,8708.2,597151.9322
0.0027,0.0008,518.67,643.26,1588.99,1407.97,14.62,21.61,552.85,2388.2,9039.16,631052.0102
42.0068,0.84,445,549.11,1352.66,1135.18,3.91,5.71,138.17,2211.6,8301.72,559018.9236
41.9983,0.84,445,549.65,1352.66,1134.46,3.91,5.71,138.3,2211.59,8300.56,559445.4966
0,0.0011,518.67,642.74,1587.82,1409.12,14.62,21.61,553.48,2388.1,9041.37,631791.5166
42.0045,0.84,445,549.23,1357.31,1129.9,3.91,5.71,138.09,2211.6,8307.89,559792.739
42.0024,0.8413,445,549.92,1353.15,1123.53,3.91,5.72,138.61,2211.56,8309.33,559852.3826
35.0043,0.8416,449.44,555.62,1368.09,1125.3,5.48,8,194,2222.68,8338.97,564758.1582
9.9995,0.2514,489.05,605.25,1504.64,1312.96,10.52,15.5,393.97,2319.06,8763.25,603984.7074
0.0003,0,518.67,642.95,1588.98,1409.61,14.62,21.61,553.31,2388.13,9041.44,631707.7806
25.0027,0.62,462.54,536.99,1266.82,1051.87,7.05,9.02,175.02,1915.11,8001,541736.6054
41.9984,0.8411,445,548.99,1352.89,1137.5,3.91,5.71,138.58,2211.59,8317.33,560723.7234
20.0005,0.7009,491.19,608,1486.6,1260.39,9.35,13.66,334.76,2323.95,8717.43,597568.7164
41.9992,0.84,445,550.1,1353.17,1126.68,3.91,5.72,139.02,2211.61,8305.16,559955.6984
35.0058,0.8403,449.44,555.64,1369.57,1136.49,5.48,8,193.87,2222.64,8339.32,565032.1034
42.0062,0.8402,445,549.65,1358.37,1125.38,3.91,5.71,139,2211.54,8308.02,560001.3736
42.0015,0.8413,445,549.43,1354.86,1127.44,3.91,5.71,138.91,2211.66,8314.36,560282.8608
0.0025,0.0015,518.67,643.26,1593.43,1409.77,14.62,21.61,553.19,2388.13,9048.15,631981.054
10.0051,0.2502,489.05,604.97,1501.19,1309.55,10.52,15.5,393.8,2319.04,8763.64,604218.1014
20.0027,0.7,491.19,607.6,1488.43,1259.11,9.35,13.66,333.85,2323.93,8704.26,597292.4454
42.0021,0.84,445,549.99,1349.48,1135.38,3.91,5.72,138.37,2211.56,8308.89,559495.1342
35.0063,0.84,449.44,555.9,1376.66,1139.31,5.48,8,194.2,2222.67,8342.95,564661.8326
20.0057,0.701,491.19,607.32,1495.89,1258.36,9.35,13.66,334.38,2323.93,8704.52,596800.7674
35.0078,0.84,449.44,556.29,1362.75,1129.45,5.48,8,194.42,2222.7,8337.45,564376.9356
20.0052,0.7,491.19,607.04,1487.94,1261.08,9.35,13.66,334.66,2323.99,8712.03,597598.8204
0.0008,0.0019,518.67,643.12,1590.38,1414.45,14.62,21.61,552.97,2388.16,9041.7,631680.253
35.0037,0.8411,449.44,555.85,1365.7,1139.21,5.48,8,193.72,2222.69,8344.36,565536.494
41.9998,0.8414,445,550.09,1362.34,1133.92,3.91,5.71,137.57,2211.58,8316.05,559879.698
41.9991,0.8419,445,549.88,1360.26,1137.95,3.91,5.72,138.15,2211.59,8309.36,559445.0596
20.0074,0.7019,491.19,607.79,1489.6,1267.13,9.35,13.66,333.74,2323.96,8709.6,597390.8562
0.0027,0.0017,518.67,643.25,1595.96,1419.21,14.62,21.61,552.63,2388.18,9046.69,631244.8956
42.0049,0.84,445,549.91,1360.02,1137.89,3.91,5.72,138.53,2211.46,8306.58,559218.4798
0.0013,0,518.67,642.6,1592.73,1418.58,14.62,21.61,552.23,2388.17,9051.13,631738.9226
35.0026,0.84,449.44,556.07,1364.28,1136.49,5.48,8,194.18,2222.74,8341.01,564688.6852
20.0045,0.7013,491.19,608.28,1481.57,1267.61,9.35,13.66,333.01,2323.98,8716.68,598007.9768
24.998,0.62,462.54,536.47,1267.58,1058.31,7.05,9.03,174.62,1915.12,8004.86,541709.356
25,0.6219,462.54,536.52,1263.31,1048.66,7.05,9.03,175.33,1915.14,7997.68,541316.5414
35.003,0.84,449.44,555.76,1373.37,1140.43,5.48,8,194.35,2222.68,8343.6,565251.976
25.0056,0.62,462.54,537.29,1266.53,1061.97,7.05,9.03,175.01,1915.11,7998.7,541324.2612
34.9991,0.8409,449.44,555.99,1369.65,1144.41,5.48,8,193.68,2222.68,8342.06,565062.4836
10.0062,0.2512,489.05,605.22,1509.78,1308.64,10.52,15.5,393.39,2319.09,8764.85,604215.4196
0.0022,0.0019,518.67,643.12,1597.91,1422.4,14.62,21.61,552.44,2388.21,9044.86,631903.6658
20.0003,0.7,491.19,607.84,1491.05,1257.21,9.35,13.66,334.88,2324,8712.6,597380.5306
42.0048,0.8414,445,550.12,1356.97,1139.01,3.91,5.71,137.97,2211.61,8309.64,559460.648
42.0071,0.84,445,549.86,1354.22,1135.64,3.91,5.71,138.59,2211.51,8314.42,559739.2242
10.0062,0.2516,489.05,605.58,1513.22,1330.39,10.52,15.5,393.66,2319.12,8769,604580.172
10.0037,0.2519,489.05,605,1515.55,1315.4,10.52,15.5,393.56,2319.08,8774.03,604329.6488
0.002,0,518.67,643.07,1607.03,1429.4,14.62,21.61,552.3,2388.26,9041.28,631721.674
10.0024,0.2506,489.05,605.81,1505.05,1320.72,10.52,15.5,393.52,2319.06,8768.69,604097.9984
42.0003,0.84,445,550.31,1365.09,1135.81,3.91,5.72,138.12,2211.53,8309.2,560159.8406
24.998,0.62,462.54,537.45,1265.45,1055.07,7.05,9.03,175.09,1915.1,8001.26,541846.606
20.0076,0.7,491.19,608.17,1498.8,1265.93,9.35,13.66,333.59,2324.01,8719.63,597936.5752
42.0046,0.8416,445,549.9,1358.5,1131.5,3.91,5.72,138.2,2211.48,8306.47,559956.0788
35.0067,0.8403,449.44,556.74,1367.93,1137.16,5.48,8,193.89,2222.72,8341.96,564945.4452
10.001,0.25,489.05,605.79,1505.33,1323.98,10.52,15.5,393.74,2319.07,8768.57,603966.172
20.0047,0.7,491.19,608.47,1499.76,1262.28,9.35,13.66,333.37,2324,8716.39,597320.6294
20.0075,0.7003,491.19,607.89,1487.05,1265.49,9.35,13.66,334.05,2324.01,8708.92,597618.0168
10,0.25,489.05,605.39,1517.51,1325.31,10.52,15.5,393.49,2319.13,8768.23,604198.98
41.9986,0.8408,445,549.88,1361.61,1139.52,3.91,5.72,138.54,2211.5,8319.48,560109.422
35.0069,0.8406,449.44,556.36,1376.07,1139.35,5.48,8,194.98,2222.62,8340.82,564701.1574
34.9991,0.841,449.44,556.33,1375.95,1144.21,5.48,8,193.8,2222.7,8346.71,565057.9842
20.0025,0.7,491.19,608.28,1497.31,1270.91,9.35,13.66,333.35,2324.03,8714.75,597690.285
35.0014,0.84,449.44,556.56,1374.08,1145.42,5.48,8,194.12,2222.65,8340.36,564992.4828
0.0017,0.0018,518.67,643.02,1601.91,1429.43,14.62,21.61,551.92,2388.27,9040.24,631257.1442
35.0007,0.8402,449.44,556.59,1376.19,1152.04,5.48,8,193.05,2222.67,8338.92,565147.5926
10.0006,0.2516,489.05,605.94,1511.92,1326.5,10.52,15.5,393.18,2319.23,8770.07,604023.3808
25.0005,0.62,462.54,537.5,1268.62,1057.88,7.05,9.03,174.77,1915.02,8001.23,541811.031
0.0024,0.0013,518.67,643.73,1605.33,1425.76,14.62,21.61,551.69,2388.31,9039.84,631121.0926
42.0017,0.8414,445,550.49,1366.01,1149.81,3.91,5.71,137.76,2211.38,8307.72,559986.3718
0.0025,0,518.67,642.04,1588.91,1404.3,14.62,21.61,552.8,2388.02,9063.58,632909.975
35.0058,0.84,449.44,556.13,1363.81,1124.7,5.48,8,194.62,2223.04,8354.83,565781.0116
0.002,0,518.67,642.76,1588.03,1407.73,14.62,21.61,553.13,2388.07,9063.35,632840.944
41.9998,0.84,445,549.96,1348.36,1122.03,3.91,5.71,138.79,2212.06,8321.27,560477.3096
0.0024,0.002,518.67,642.21,1586.67,1407.04,14.62,21.61,553.86,2388.03,9061.96,633073.3668
20.0033,0.7001,491.19,607.11,1481.72,1248.71,9.35,13.66,335.2,2323.96,8729.45,598759.2372
10.0047,0.25,489.05,604.86,1505.35,1310.27,10.52,15.49,394.1,2318.92,8790.67,605829.5794
0.0021,0,518.67,642.31,1581.99,1405.72,14.62,21.61,554.92,2388.05,9064.63,633133.8742
10.0032,0.2514,489.05,604.81,1495.56,1305.39,10.52,15.49,394.87,2318.98,8782.01,605462.3748
25.0001,0.62,462.54,536.87,1263.73,1044.97,7.05,9.03,175.78,1915.45,8016.44,542600.4402
10.0009,0.25,489.05,604.4,1496.15,1307.82,10.52,15.5,394.65,2318.88,8779.67,605015.8218
42.0057,0.8413,445,549.44,1354.31,1127.54,3.91,5.72,139.22,2212,8321.45,560736.8592
42.0072,0.8415,445,549.7,1349.5,1126.37,3.91,5.72,139.17,2212.03,8325.22,561073.9334
0.0009,0,518.67,642.19,1584.74,1400.46,14.62,21.61,553.22,2388.08,9069.03,632798.7718
42.0066,0.8418,445,549.25,1350.47,1129.38,3.91,5.72,139.19,2212.04,8321.55,560374.814
0.0016,0,518.67,642.05,1584.18,1402.85,14.62,21.61,553.84,2388.08,9060.64,632992.1332
9.9988,0.2504,489.05,604.04,1497.06,1313.28,10.52,15.49,394.27,2318.91,8794.3,605782.5
42.0035,0.84,445,549.75,1353.68,1122.27,3.91,5.71,138.95,2211.96,8323.2,560282.497
35.0027,0.84,449.44,556.15,1369.51,1130.29,5.48,8,194.61,2223.09,8361.69,565928.2154
35.002,0.84,449.44,556.01,1366.15,1124.31,5.48,8,194.35,2223.1,8357.43,566050.754
42.0026,0.8403,445,549.23,1351.49,1123.6,3.91,5.72,139.03,2212.06,8328.39,561199.437
42.0034,0.8412,445,548.94,1350.15,1126.44,3.91,5.72,138.82,2212.08,8332.65,561181.054
35.0033,0.84,449.44,556.06,1362.68,1122.25,5.48,8,194.39,2223.13,8359.48,566511.2566
20.0042,0.7011,491.19,607.15,1482.68,1250.3,9.35,13.66,335.58,2324,8728.19,598839.985
42.0047,0.84,445,549.23,1350.6,1123.76,3.91,5.71,138.69,2211.94,8329,561248.9994
42.0054,0.84,445,549.8,1359.01,1125.52,3.91,5.71,138.47,2212.06,8329.1,560806.5008
25.0018,0.6204,462.54,536.8,1258.35,1041.62,7.05,9.02,175.91,1915.46,8020,542830.556
42.0023,0.84,445,549.75,1355.35,1123.07,3.91,5.71,139.33,2211.99,8326.96,561439.5546
0.0011,0,518.67,642.37,1590.06,1404.71,14.62,21.61,553.66,2388.09,9061.66,632368.5522
42.0009,0.84,445,549.59,1349.38,1125.87,3.91,5.72,138.46,2211.93,8328.24,560980.1818
20.0012,0.7007,491.19,607.26,1475.22,1254.78,9.35,13.66,335.16,2324,8735.72,599212.8566
42.0068,0.84,445,549.96,1354,1133.31,3.91,5.72,139.56,2212.05,8325.41,560662.9136
20.004,0.7,491.19,607.09,1482.68,1256.34,9.35,13.65,334.48,2323.94,8736.98,599352.618
0.0024,0,518.67,642.47,1596.96,1401.32,14.62,21.61,553.52,2388.06,9063.22,632733.8148
0.0029,0.0011,518.67,642.21,1588.21,1410.57,14.62,21.61,552.89,2388.06,9063.05,633157.9524
41.9995,0.8404,445,549.31,1352.23,1118.35,3.91,5.72,138.57,2212.07,8329.81,560745.8514
20,0.7,491.19,606.91,1487.11,1253.67,9.35,13.66,334.65,2323.96,8735.19,599081.82
20.0013,0.7,491.19,607.91,1480.77,1247.22,9.35,13.65,334.53,2324.03,8732.31,598997.1426
9.9992,0.25,489.05,604.66,1501.94,1305.22,10.52,15.49,394.53,2318.91,8790.33,606195.7784
35.0032,0.8413,449.44,555.77,1361.42,1131.25,5.48,8,195.03,2223.07,8350.11,565234.0442
42.0074,0.8411,445,549.55,1352.85,1123.89,3.91,5.71,138.72,2212.04,8326.49,561193.0014
42.0067,0.8401,445,549.01,1357.86,1127.57,3.91,5.71,138.58,2212.06,8329.96,560773.314
35.0025,0.84,449.44,555.33,1369.64,1127.2,5.48,8,194.62,2223.01,8359.07,565851.845
20.0006,0.7,491.19,607.22,1485.64,1255.3,9.35,13.65,334.88,2324.04,8731.08,598852.2112
20.0029,0.7006,491.19,607.58,1482.57,1248.2,9.35,13.66,334.43,2324.01,8733.44,599111.2294
0.0023,0,518.67,642.67,1588.71,1406.63,14.62,21.61,554.41,2388.05,9057.55,632745.5446
35.0045,0.84,449.44,555.73,1367.33,1135.83,5.48,8,194.26,2223.08,8360.88,566405.509
25.0029,0.6208,462.54,536.7,1257.58,1045.96,7.05,9.03,175.73,1915.47,8014.54,542511.3006
0.0029,0.0005,518.67,642.47,1584.53,1402.1,14.62,21.61,553.55,2388.06,9064.93,632748.3288
0,0.0019,518.67,642.48,1584.53,1399.74,14.62,21.61,554.59,2388.07,9064.93,632914.5314
0.0003,0.0002,518.67,642.81,1587.59,1411.27,14.62,21.61,553.88,2388.06,9058.99,632721.4318
25.0035,0.6203,462.54,536.81,1262.6,1050.61,7.05,9.03,175.92,1915.43,8005.94,542014.1488
9.9994,0.2519,489.05,604.59,1501.01,1309.51,10.52,15.49,394.92,2318.94,8788.43,605876.8402
25.004,0.6206,462.54,537.08,1265.08,1050.62,7.05,9.03,175.2,1915.55,8013.06,542419.4716
20.0007,0.7,491.19,607.7,1480.18,1248.5,9.35,13.66,334.73,2324.06,8738.24,598762.5214
10.0038,0.2501,489.05,604.66,1501.86,1304.31,10.52,15.49,394.82,2318.9,8791.62,606310.8782
20.0065,0.7018,491.19,607.46,1484.37,1252.06,9.35,13.66,335.06,2323.97,8731.6,598694.4538
42.0046,0.8401,445,550.39,1351.33,1120.9,3.91,5.71,139.04,2212.02,8329.85,560902.3498
0.0008,0.0009,518.67,642.47,1587.38,1409.88,14.62,21.61,553.27,2388.09,9067.12,633394.467
20.0072,0.7016,491.19,607.89,1480.05,1257.12,9.35,13.66,334.39,2324.01,8726.14,597985.244
41.9985,0.8407,445,549.58,1351.64,1133.12,3.91,5.72,139.05,2212.03,8325.92,561066.5112
42.0041,0.84,445,549.19,1354.98,1131.92,3.91,5.72,138.81,2212.07,8329.9,561507.9982
35.005,0.8411,449.44,555.48,1370.56,1128.59,5.48,8,195.39,2223.06,8359.65,566165.4866
25.0014,0.62,462.54,536.28,1265.29,1045.03,7.05,9.02,175.05,1915.48,8014.85,542329.3528
24.9984,0.62,462.54,536.85,1267.64,1047.94,7.05,9.03,175.82,1915.41,8020.24,542861.4368
42.0076,0.84,445,549.4,1356.45,1124.35,3.91,5.71,138.98,2212.01,8331.25,561706.4552
25.0034,0.6219,462.54,536.3,1264.5,1044.17,7.05,9.03,175.51,1915.5,8017.53,542371.5482
20.007,0.7,491.19,607.43,1488.33,1257.82,9.35,13.66,334.52,2324,8738.58,599318.424
24.9993,0.62,462.54,537.19,1262.41,1046,7.05,9.03,175.8,1915.44,8018.86,542991.2586
25.0032,0.62,462.54,536.7,1256.86,1049.27,7.05,9.03,175.61,1915.45,8012.9,542792.4564
41.9993,0.8417,445,549.44,1354.17,1122.39,3.91,5.71,138.99,2212.06,8334.64,561643.7388
19.9988,0.7,491.19,607.46,1484.74,1248.64,9.35,13.66,334.74,2324.05,8723.36,598364.9876
0.0018,0.0007,518.67,642.24,1594.28,1403.14,14.62,21.61,554.48,2388.1,9069.24,633056.9378
20.0053,0.7,491.19,607.31,1488.8,1250.84,9.35,13.66,334.6,2324.05,8733.09,598530.4806
35.0013,0.84,449.44,555.15,1362.71,1130.65,5.48,8,193.9,2223.04,8359.71,565895.4826
20.0002,0.7,491.19,607.12,1483.17,1248.87,9.35,13.66,334.83,2323.98,8728.21,598596.0404
10.0047,0.2516,489.05,604.25,1505.64,1308.32,10.52,15.49,394.64,2318.89,8789.94,605657.109
20.0034,0.702,491.19,607.32,1491.19,1253.45,9.35,13.66,334.76,2324.06,8735.14,598971.5888
0.0021,0.0017,518.67,642.6,1592,1403.47,14.62,21.61,553.67,2387.99,9072.89,633699.2944
0.0003,0.0002,518.67,642.98,1586.92,1409.57,14.62,21.61,553.68,2388.05,9074.03,633862.0718
42.0051,0.84,445,549.92,1355.37,1126.74,3.91,5.72,139.01,2212.05,8334.48,561588.2802
10.0046,0.2508,489.05,605.04,1498.41,1311.46,10.52,15.49,394.68,2318.93,8786.21,605470.124
35.0035,0.842,449.44,555.78,1362.95,1127.15,5.48,8,194.21,2223.14,8358.63,566400.269
25.0067,0.62,462.54,536.64,1255.69,1050.91,7.05,9.03,175.55,1915.46,8022.46,542883.1234
20.0022,0.7,491.19,607.54,1484.34,1253.49,9.35,13.66,334.71,2324.03,8733.25,598766.0844
0.0004,0,518.67,642.24,1591.82,1406.03,14.62,21.61,553.18,2388.12,9062.31,632893.0508
42.0024,0.84,445,549.31,1354.22,1123.87,3.91,5.72,139.04,2212.01,8335.97,561152.2648
24.9994,0.62,462.54,537.05,1265.9,1054.83,7.05,9.03,176.96,1915.47,8014.51,542895.9588
24.9997,0.62,462.54,536.21,1263.14,1054.32,7.05,9.03,175.59,1915.54,8022.94,543103.9894
42.0041,0.8402,445,549.84,1352.45,1123.05,3.91,5.71,138.94,2212.08,8336.51,561974.4094
25.0017,0.62,462.54,536.46,1262.32,1054.64,7.05,9.03,174.75,1915.53,8014.07,542343.3734
42.0006,0.84,445,549.39,1358.44,1131.01,3.91,5.72,138.88,2212.05,8334.57,561642.0612
10.0018,0.25,489.05,604.74,1496.94,1315.39,10.52,15.5,394.52,2318.97,8787.12,605803.3736
42.0001,0.8405,445,549.68,1349.65,1123.95,3.91,5.72,138.61,2212.06,8324.13,560897.1732
10.0019,0.2512,489.05,604.72,1504.25,1307.41,10.52,15.49,394.61,2318.93,8786.98,605663.091
25.0051,0.62,462.54,536.56,1266.69,1049.63,7.05,9.03,175.06,1915.45,8021.66,543021.3702
25.0021,0.62,462.54,536.8,1263.72,1045.04,7.05,9.03,174.94,1915.46,8013.46,542362.5642
0.0021,0,518.67,642.33,1590.35,1410.98,14.62,21.61,553.2,2388.06,9067.11,632913.9542
20.0066,0.7,491.19,607.34,1483.53,1251.91,9.35,13.66,334.93,2324,8732.86,598723.4532
35.0019,0.84,449.44,555.95,1361.18,1128.03,5.48,8,194.89,2223.1,8359.47,565964.0938
9.9989,0.2508,489.05,604.41,1499.35,1306.82,10.52,15.49,394.73,2318.92,8787.19,605811.5426
0.0013,0.001,518.67,642.42,1594.1,1400.69,14.62,21.61,553.6,2388.09,9071.05,633130.9986
42.0054,0.84,445,550.01,1354.64,1128.8,3.91,5.71,138.61,2212.07,8326.87,560668.0208
0.0001,0,518.67,642.18,1594.8,1409.61,14.62,21.61,554.5,2388.03,9071.98,633229.8702
34.9997,0.841,449.44,555.77,1360.13,1136.41,5.48,8,194.98,2223.14,8357.17,566109.2454
19.999,0.7019,491.19,607.12,1491.8,1251.87,9.35,13.65,335.18,2324.03,8727.25,598165.9394
0.0019,0.0018,518.67,642.97,1590.45,1401.75,14.62,21.61,553.89,2388.08,9067,633083.6546
9.9996,0.25,489.05,604.63,1494.94,1309.52,10.52,15.49,395.23,2318.92,8791.08,606368.7792
